narwhal_id	time_start	time_end	duration	dive_phase	meets_criteria	notes
asgeir	2018-08-23 22:46:54.0	2018-08-23 22:47:13.2	0:00:19	descent	N	During early tag deployment, shallow (< 200m) dives
asgeir	2018-08-23 22:51:53.8	2018-08-23 22:52:28.8	0:00:35	descent	N	During early tag deployment, shallow (< 200m) dives
asgeir	2018-08-23 22:53:03.2	2018-08-23 22:53:14.9	0:00:12	ascent	N	During early tag deployment, shallow (< 200m) dives
asgeir	2018-08-23 22:53:50.2	2018-08-23 22:54:03.1	0:00:13	ascent	N	During early tag deployment, shallow (< 200m) dives
asgeir	2018-08-23 22:54:30.5	2018-08-23 22:54:39.3	0:00:09	ascent	N	
asgeir	2018-08-23 22:56:57.4	2018-08-23 22:57:06.7	0:00:09	surface	N	
asgeir	2018-08-23 23:01:07.6	2018-08-23 23:01:21.2	0:00:14	surface	N	
asgeir	2018-08-23 23:04:51.8	2018-08-23 23:04:58.7	0:00:07	descent	N	
asgeir	2018-08-23 23:06:22.2	2018-08-23 23:06:29.3	0:00:07	descent	N	
asgeir	2018-08-23 23:09:42.2	2018-08-23 23:10:20.1	0:00:38	bottom	N	
asgeir	2018-08-23 23:15:34.0	2018-08-23 23:15:42.8	0:00:09	ascent	N	
asgeir	2018-08-23 23:30:50.9	2018-08-23 23:30:56.4	0:00:06	surface	N	
asgeir	2018-08-23 23:31:04.4	2018-08-23 23:31:11.4	0:00:07	surface	N	
asgeir	2018-08-23 23:37:52.3	2018-08-23 23:37:58.0	0:00:06	descent	N	
asgeir	2018-08-23 23:45:02.1	2018-08-23 23:45:06.2	0:00:04	ascent	N	
asgeir	2018-08-23 23:59:33.4	2018-08-23 23:59:41.9	0:00:09	ascent	N	
asgeir	2018-08-24 00:13:07.5	2018-08-24 00:13:18.9	0:00:11	ascent	N	
asgeir	2018-08-24 00:23:04.4	2018-08-24 00:23:17.1	0:00:13	ascent	N	
asgeir	2018-08-24 00:35:23.9	2018-08-24 00:35:30.0	0:00:06	surface	N	
asgeir	2018-08-24 00:42:25.4	2018-08-24 00:42:49.0	0:00:24	bottom	N	
asgeir	2018-08-24 01:00:13.5	2018-08-24 01:00:33.6	0:00:20	ascent	N	
asgeir	2018-08-24 01:10:36.8	2018-08-24 01:10:44.2	0:00:07	ascent	N	
asgeir	2018-08-24 01:34:44.6	2018-08-24 01:35:09.2	0:00:25	ascent	N	ask Max but i think this is light stroking 
asgeir	2018-08-24 01:36:22.4	2018-08-24 01:36:28.1	0:00:06	ascent	N	
asgeir	2018-08-24 01:44:04.3	2018-08-24 01:44:55.0	0:00:51	bottom	N	ask Max but i think this is light stroking
asgeir	2018-08-24 02:10:48.5	2018-08-24 02:11:53.6	0:01:05	descent	N	
asgeir	2018-08-24 02:20:45.1	2018-08-24 02:21:01.8	0:00:17	ascent	N	
asgeir	2018-08-24 02:28:33.5	2018-08-24 02:29:22.4	0:00:49	bottom	N	
asgeir	2018-08-24 02:33:42.2	2018-08-24 02:34:12.1	0:00:30	ascent	N	
asgeir	2018-08-24 02:57:45.1	2018-08-24 02:58:04.4	0:00:19	subsurface	N	
asgeir	2018-08-24 03:00:43.0	2018-08-24 03:00:52.7	0:00:10	ascent	N	
asgeir	2018-08-24 03:07:11.8	2018-08-24 03:07:54.4	0:00:43	ascent	N	
asgeir	2018-08-24 03:08:35.3	2018-08-24 03:08:45.6	0:00:10	ascent	N	
asgeir	2018-08-24 03:18:33.4	2018-08-24 03:18:59.7	0:00:26	ascent	N	
